index,q,powerloss,f,vout,iout,pa,prx,bty_temp,chnl,ce_pkg,rpp_pkg,ss_pkg,location
51,1.07,3486.54,140.61,17.03,2434.48,6.23,41.12,20.97,5.81,-107.88,18.21,64.92,1
53,1.64,2380.63,131.5,16.31,1430.13,11.87,14.29,44.09,1.97,10.57,3.73,154.65,1
54,1.9,6637.28,132.45,17.29,1893.55,22.53,2.81,0.0,4.5,-69.58,14.8,52.16,0
55,1.31,7192.43,135.83,18.44,1061.29,46.84,51.46,31.39,2.48,-3.15,21.59,165.56,1
56,1.38,2673.71,133.41,18.16,890.11,43.31,40.98,49.25,6.34,22.27,30.11,139.74,1
58,0.21,3945.33,134.02,16.94,1549.45,1.0,53.64,40.67,2.48,-87.97,14.94,88.74,0
59,1.9,8714.1,141.0,17.7,2250.81,27.11,37.56,20.4,7.75,-99.64,32.21,64.81,1
60,1.37,7202.21,136.62,18.91,1321.58,41.24,50.13,7.67,2.46,-116.92,26.71,101.89,1
61,1.52,3823.33,141.87,17.45,1803.54,62.88,9.59,0.8,6.15,-66.2,26.7,115.55,0
62,1.14,1665.14,142.74,15.69,2033.28,44.82,19.09,19.61,6.86,85.54,12.5,88.19,1
63,0.78,7301.07,134.51,16.92,1554.26,31.27,45.85,25.68,1.94,-117.57,45.42,41.4,1
65,1.3,3678.03,136.04,17.56,486.25,38.22,7.43,33.79,4.62,19.76,48.99,158.62,1
66,0.84,8512.48,133.35,15.89,2406.89,1.33,9.59,49.37,3.02,10.39,58.99,226.37,0
68,1.4,177.77,135.4,17.36,2047.58,57.36,52.22,39.38,7.94,104.53,39.31,6.11,0
69,1.08,1119.88,135.71,17.03,2292.93,1.81,42.63,18.53,7.78,-38.5,25.53,108.2,1
70,1.98,8164.97,144.33,17.43,2033.72,36.94,49.0,36.14,4.4,-16.67,5.8,145.14,1
71,1.85,1520.5,138.5,15.85,1726.81,50.47,4.21,9.05,4.69,4.32,36.81,178.12,0
72,1.81,607.47,131.96,18.61,346.85,57.04,48.85,21.1,5.91,-123.36,59.57,156.9,1
73,1.63,5066.22,144.19,15.55,18.94,13.86,6.93,17.43,6.26,-63.3,13.55,126.06,1
74,1.66,3162.21,139.78,16.03,2411.22,40.97,47.84,41.62,7.55,82.65,23.91,141.51,1
75,0.43,6802.31,133.68,16.68,1729.18,35.09,52.34,45.63,2.31,122.29,13.51,187.2,1
76,1.32,2209.05,136.15,16.89,345.14,27.34,50.55,49.43,5.21,22.27,40.34,168.21,0
77,0.85,3863.88,130.74,17.28,873.34,26.77,55.79,44.25,7.29,11.28,40.05,244.19,1
78,0.26,2777.32,130.77,18.64,988.23,26.18,12.79,1.87,2.49,58.04,3.83,60.17,0
79,0.4,5683.64,130.26,15.27,1538.74,18.02,16.85,33.85,4.08,-5.63,24.97,215.04,0
80,0.97,6769.64,133.03,16.43,197.65,18.41,44.78,23.9,3.82,-30.06,19.38,254.7,0
81,1.41,6570.04,131.46,18.61,2475.28,31.12,56.48,37.47,2.67,-96.58,49.7,10.28,0
82,1.32,5292.36,135.46,18.59,821.44,53.47,11.73,31.11,0.02,-8.02,47.75,27.68,0
83,0.11,9303.42,140.26,17.07,1643.71,47.57,42.9,17.17,5.08,85.49,60.27,47.51,1
84,1.06,3489.15,132.2,17.69,1236.2,57.93,23.05,21.87,4.08,-48.8,22.83,238.57,0
85,1.38,607.4,136.78,17.54,470.02,16.46,30.31,27.36,6.94,-72.51,57.93,233.49,0
86,1.61,7047.66,142.55,17.13,1240.83,9.79,0.7,49.07,5.73,101.94,15.51,9.46,1
89,1.27,7698.84,130.61,16.78,283.72,3.09,9.52,17.34,0.7,-79.51,30.89,115.49,1
90,1.85,3201.52,138.57,18.66,1812.56,9.85,23.63,42.94,2.05,119.49,44.6,155.01,0
91,1.89,791.58,144.35,18.37,421.13,45.62,19.85,33.85,7.07,50.65,5.11,176.75,1
92,0.82,9996.18,140.35,16.92,283.26,21.06,49.26,41.54,2.26,105.99,27.74,108.93,1
93,1.57,4795.25,138.56,16.32,2132.84,27.07,21.15,44.34,6.08,-63.81,49.16,226.76,1
96,0.88,1386.12,135.84,17.43,2172.75,29.77,33.68,2.37,4.0,116.44,50.62,166.54,1
98,0.27,4034.77,132.0,17.02,263.15,29.74,2.59,38.7,2.43,32.5,44.91,148.06,0
99,0.83,1026.81,142.66,16.62,1411.4,12.04,9.26,24.27,7.03,60.04,37.22,171.34,0
100,0.54,7694.43,138.73,15.85,7.46,60.04,39.13,8.37,2.58,82.54,55.95,171.91,1
102,0.45,9376.08,136.97,15.88,1550.38,18.18,56.39,47.96,3.29,52.04,15.74,113.32,1
104,1.44,39.13,141.85,18.84,1496.37,6.52,52.08,30.27,7.29,-71.7,49.24,129.94,1
106,0.69,5932.02,135.58,15.61,333.45,51.39,56.08,35.91,2.75,20.41,33.6,73.82,1
107,0.1,7249.8,136.62,18.18,39.83,15.86,45.15,0.65,5.78,-7.51,26.26,184.97,1
109,0.91,2768.65,144.37,17.75,228.87,0.03,26.32,15.13,0.32,-4.76,0.72,36.68,1
110,1.3,2699.18,140.09,18.02,196.12,62.12,31.58,1.63,4.64,9.55,13.62,133.12,0
111,1.74,6290.47,143.09,18.27,1553.82,39.7,47.84,34.51,4.21,28.26,12.2,240.72,0
113,0.51,8306.44,144.26,16.23,1728.69,38.44,40.95,20.57,6.17,-111.74,58.57,40.91,1
114,0.11,1074.38,144.52,18.39,1120.91,22.57,60.49,30.29,4.35,-76.11,52.26,141.73,0
115,1.51,9339.54,142.91,17.72,41.45,61.24,34.85,27.88,1.91,112.49,48.04,20.92,1
117,0.06,846.56,138.9,17.03,1520.68,33.18,24.43,13.15,3.03,-24.99,13.46,184.53,1
118,0.39,4696.22,144.05,15.39,1152.06,14.44,29.39,21.55,2.52,-81.96,7.47,235.31,1
119,0.12,1390.62,137.02,17.57,340.45,8.12,62.08,41.02,6.45,-118.23,14.62,69.89,1
120,1.34,9471.16,137.27,15.48,1113.64,59.67,30.14,40.38,2.29,115.95,0.84,199.91,0
121,1.48,6796.88,131.65,18.29,306.22,54.48,60.37,1.79,0.13,-87.6,14.24,36.94,1
122,1.35,627.37,136.21,16.06,163.23,20.87,57.83,23.11,6.62,-79.33,57.94,64.77,0
123,1.08,3585.57,139.72,15.45,1237.3,20.73,64.04,8.68,1.72,-83.16,38.74,94.38,0
124,1.17,4988.58,130.46,15.43,1112.39,5.46,10.14,49.6,5.88,42.3,21.02,62.51,1
125,1.7,5732.35,136.23,16.14,1007.92,40.1,42.39,34.92,0.32,-57.53,60.64,196.97,0
126,1.4,4256.04,131.31,15.89,584.72,63.45,21.4,16.64,6.29,100.04,33.2,111.38,1
127,1.44,1361.37,132.8,18.13,1355.7,64.64,15.91,21.79,0.43,-54.79,64.19,120.51,0
128,1.45,5742.93,143.44,17.61,2176.12,15.85,37.68,36.8,0.76,47.86,48.33,74.47,0
129,1.97,9157.13,131.18,15.74,49.52,35.66,40.75,33.02,7.78,109.72,11.08,244.23,1
130,0.56,1495.03,145.19,17.74,2077.78,63.26,25.83,9.38,1.17,69.26,15.98,51.94,1
131,0.26,632.97,137.59,16.77,1713.4,11.56,29.89,38.14,6.16,42.48,59.36,157.85,0
132,0.0,7437.5,131.26,16.22,1968.3,2.74,58.92,33.78,6.4,115.36,62.07,149.1,0
133,0.99,2178.07,145.79,17.62,2046.22,2.57,37.47,15.32,6.74,126.32,44.03,46.31,0
134,1.7,3731.95,133.9,16.35,1203.13,7.91,17.63,36.02,6.15,26.98,24.93,119.55,0
136,0.75,3373.76,141.41,17.5,981.22,19.65,20.61,38.1,0.61,-12.83,34.26,2.79,0
138,1.96,2603.02,139.38,17.06,1947.51,31.83,24.64,4.16,4.17,115.24,28.2,150.01,1
139,1.4,7217.97,136.69,16.5,170.34,32.56,50.15,31.76,2.94,27.6,54.57,16.02,1
140,1.69,8860.76,134.19,17.22,938.87,45.93,51.23,25.0,6.2,34.96,38.83,233.03,1
141,0.59,572.41,141.59,15.82,169.1,54.6,50.81,15.0,6.19,92.83,35.4,8.41,0
142,1.44,4956.0,143.98,15.55,377.65,33.36,41.33,23.1,4.24,83.72,9.72,11.92,0
143,1.44,9261.92,141.02,16.88,347.16,57.1,47.65,44.36,7.62,101.98,32.02,153.47,1
145,0.52,420.88,145.21,17.66,1702.42,10.44,6.9,38.33,6.33,-1.19,64.46,155.3,1
146,0.24,4525.17,140.23,17.62,183.19,20.65,2.09,37.53,2.81,112.74,25.06,182.75,0
147,0.12,5029.78,134.36,17.93,2183.92,42.84,53.3,36.06,2.85,-50.21,11.71,4.49,0
148,1.03,3906.09,145.84,17.49,641.41,53.42,1.07,1.56,7.17,-42.01,28.51,28.22,0
149,1.38,6919.71,140.34,18.29,418.91,41.7,9.63,34.18,1.79,-118.05,58.01,162.9,0
150,0.66,16.84,143.36,18.3,2436.93,2.58,30.65,31.21,6.28,63.99,32.02,82.98,1
151,0.55,473.33,139.62,18.44,1418.33,34.41,12.36,4.42,7.95,-32.03,55.53,66.67,1
153,0.18,6295.15,140.55,18.14,2392.81,4.56,29.42,40.3,4.92,85.48,4.91,16.03,0
155,1.08,2939.99,133.37,16.01,1879.76,57.31,27.68,45.68,7.75,-70.25,13.46,25.83,0
157,1.25,1811.18,139.72,18.3,382.37,38.72,25.82,47.11,6.01,13.85,55.05,73.79,0
158,1.46,8244.39,133.96,15.92,1227.02,54.18,50.82,12.55,6.71,32.31,40.67,48.71,1
159,1.51,6348.07,143.55,17.85,2052.26,63.92,50.18,42.43,5.94,-8.65,5.16,133.56,0
162,1.74,4840.12,141.07,16.42,2064.44,35.27,46.98,44.33,6.49,48.95,23.64,22.79,0
163,1.7,8901.38,142.02,18.89,1382.26,51.28,60.97,14.3,7.14,44.91,4.65,112.26,1
165,1.63,433.81,143.39,16.89,148.81,59.02,31.16,49.28,0.34,-9.08,53.93,138.66,0
166,1.05,7569.68,135.03,18.26,1016.32,21.9,51.79,16.44,5.41,77.85,37.38,108.65,0
167,0.76,8902.2,135.93,16.12,520.93,15.8,57.64,31.68,7.84,74.34,0.78,19.66,0
168,1.83,4683.05,140.19,15.54,2157.29,34.37,5.05,16.02,5.35,-73.64,13.28,243.13,0
169,0.84,3770.36,141.69,18.46,2305.25,59.69,39.99,40.78,3.29,-58.31,19.19,194.31,0
170,0.46,3602.2,130.95,18.54,1472.32,39.61,51.04,12.6,6.89,-76.15,43.74,236.02,1
171,0.49,5488.53,139.87,17.16,2153.62,5.77,63.71,22.87,2.08,108.1,37.89,133.49,0
172,1.02,4843.25,132.86,15.96,2235.27,6.83,43.53,48.79,4.24,22.62,24.13,245.12,1
173,1.86,9102.56,139.28,17.46,1247.81,43.23,40.31,31.0,0.36,-109.9,48.86,149.21,1
174,0.84,5925.55,145.1,15.49,185.25,29.89,0.07,18.11,0.27,92.85,23.56,196.35,1
175,0.75,771.29,136.38,17.98,832.17,47.97,56.95,21.08,2.83,-6.73,40.59,62.72,0
176,1.71,9068.64,132.09,17.66,749.44,36.85,5.95,29.27,4.34,24.89,43.41,221.82,0
177,1.99,9365.94,143.0,17.37,1525.24,52.68,44.52,8.22,7.76,-8.28,12.16,115.56,0
178,1.15,619.22,135.5,18.53,1949.24,4.67,0.39,29.43,1.03,-97.72,20.31,99.17,0
179,0.1,5292.08,141.38,16.02,1868.33,32.21,10.76,5.12,6.4,-32.47,40.97,183.62,0
180,1.09,8559.5,145.74,17.53,600.94,48.25,25.77,47.73,2.11,-67.77,48.02,157.86,0
183,1.79,1965.86,134.31,16.17,961.68,49.2,38.93,47.89,0.84,-71.14,7.59,244.55,0
185,1.95,4872.98,145.76,18.17,781.19,64.88,3.73,1.89,1.76,-56.18,41.78,172.29,1
186,0.63,3147.25,141.71,16.39,2035.61,20.13,16.79,41.92,7.86,121.22,58.74,154.2,1
187,1.71,7172.31,131.03,16.88,565.85,42.75,58.41,3.84,7.72,-52.45,47.67,8.98,1
188,0.84,2098.37,142.93,18.79,2085.19,52.52,24.64,20.14,4.91,14.9,52.71,28.58,0
189,1.87,663.32,131.05,15.49,1871.92,38.74,32.73,18.73,5.73,-64.4,3.2,133.21,0
191,0.89,4454.78,132.32,15.11,766.79,4.89,21.12,42.97,7.38,-75.86,27.6,116.46,1
192,0.48,4999.67,136.32,17.27,2190.37,33.21,59.31,36.6,6.32,-32.62,5.87,0.86,0
193,0.45,3087.28,135.52,15.85,1954.38,17.49,6.93,20.92,6.56,13.44,19.57,8.26,0
194,1.71,6325.59,144.2,18.01,534.19,34.83,52.95,46.56,1.59,-35.54,42.93,216.14,0
195,1.99,8149.59,144.77,17.76,718.51,32.14,47.37,14.36,7.59,-111.47,29.04,120.66,1
196,0.48,9032.44,137.15,15.56,2418.03,52.44,15.6,24.01,1.78,119.65,13.43,16.8,1
197,0.41,2226.48,140.38,16.12,1645.95,16.31,41.56,12.82,5.79,-75.76,39.37,243.92,1
198,0.99,882.39,134.74,17.51,646.77,6.1,4.57,49.39,3.57,99.18,18.71,104.24,0
199,0.87,3801.8,135.44,15.31,2284.81,8.43,58.13,11.12,6.71,-31.66,10.33,138.2,0
200,0.63,8332.87,135.65,18.11,507.16,31.64,61.69,43.74,3.13,-122.53,13.55,231.54,0
201,1.74,1093.88,140.45,15.72,789.84,13.55,63.51,2.87,5.17,127.09,40.35,213.4,0
202,0.3,5497.17,138.42,15.52,706.08,21.99,16.98,2.45,3.18,-77.07,50.16,113.36,1
203,1.45,1803.39,145.93,15.94,1183.04,64.22,1.63,45.54,7.33,17.22,44.14,86.09,0
204,1.18,5855.32,134.8,18.49,217.33,14.28,60.57,31.19,2.31,-78.4,10.85,69.89,0
205,0.53,872.17,140.38,17.12,1978.96,42.93,48.37,37.54,7.81,101.48,50.4,146.7,0
206,0.07,1246.64,135.96,17.65,998.3,7.98,30.74,44.17,2.97,24.92,5.01,44.53,0
207,1.45,5058.78,130.96,16.63,1261.29,49.29,28.24,22.79,3.47,-54.09,24.42,197.48,1
208,1.19,5193.41,136.67,18.7,370.13,57.35,27.28,5.07,5.09,55.25,20.48,183.94,0
209,1.54,5705.29,142.89,15.88,2259.96,21.41,16.68,12.5,5.75,-93.33,7.95,46.71,0
210,1.13,6476.03,144.6,17.75,693.34,21.4,0.12,28.0,5.83,-118.82,44.69,35.42,1
212,0.44,9929.25,140.64,15.57,408.01,48.92,30.67,4.53,6.38,114.72,1.5,203.71,0
213,1.21,5879.62,140.53,17.74,2116.48,24.76,15.89,30.36,7.29,-111.74,62.11,74.06,1
214,0.25,5286.53,139.38,16.95,2295.95,21.7,23.87,13.74,0.08,-77.28,63.74,87.84,1
215,0.99,6993.39,136.27,15.07,2097.39,29.82,11.34,43.01,5.2,-4.3,45.73,30.07,1
218,0.83,1275.49,132.78,17.28,1772.48,43.8,2.82,38.94,7.25,44.27,30.54,166.84,1
219,1.5,6358.71,139.92,15.77,2263.63,39.97,57.33,0.25,1.44,-98.11,30.05,194.55,1
220,1.03,616.64,132.87,15.74,1759.65,64.97,61.02,12.46,7.93,-30.69,40.0,221.37,0
221,0.45,7495.2,134.84,18.28,404.49,4.22,52.2,16.28,2.56,98.26,11.67,41.92,0
222,0.83,7826.23,139.48,17.38,453.32,6.25,35.55,27.34,2.6,-41.66,31.34,104.67,0
223,0.51,6740.36,136.8,17.89,1296.65,36.82,46.21,3.16,7.57,15.36,59.75,42.28,1
224,0.39,7950.21,143.39,15.63,878.86,55.02,19.72,33.25,0.77,67.73,31.5,168.59,1
225,1.19,1478.61,138.92,16.23,1287.16,32.6,16.42,46.07,1.81,39.02,46.94,129.25,1
226,0.11,4546.95,141.82,16.41,207.06,47.23,17.51,19.44,7.1,23.76,23.65,80.01,0
227,0.03,6659.58,130.61,15.69,2337.87,27.17,34.65,30.81,1.4,43.34,58.38,230.99,0
228,0.88,7413.75,134.71,15.36,1356.91,35.71,64.51,16.36,0.28,78.59,16.07,80.99,1
229,1.06,2273.24,133.96,16.16,2226.55,57.24,11.3,15.7,1.86,-77.6,59.44,86.55,0
230,0.84,2599.72,143.53,15.59,738.87,53.64,24.56,45.48,5.3,57.23,7.25,178.14,1
231,1.36,9527.35,140.06,17.64,573.53,9.26,47.19,48.03,0.91,46.46,53.46,228.74,1
232,1.27,8303.95,143.48,16.46,921.22,40.07,10.19,6.77,7.68,-82.36,15.34,208.05,0
233,1.51,7226.33,145.3,16.98,1761.44,24.17,31.78,33.46,3.03,-65.69,0.58,221.09,0
234,1.47,8138.97,131.55,15.91,2454.85,55.77,46.19,3.7,7.59,-115.59,19.43,94.25,1
236,1.29,9489.54,135.14,16.7,2186.77,59.07,1.12,38.47,2.55,9.44,33.5,242.56,0
237,1.15,1674.58,139.89,17.46,2299.85,59.85,12.09,39.66,0.96,-118.07,29.95,24.85,0
239,0.91,4538.73,135.59,16.4,1648.28,60.41,31.65,47.46,5.02,-104.59,53.96,18.88,1
241,0.69,3858.99,140.97,16.49,2379.8,14.74,50.32,3.54,3.08,-7.24,36.12,54.16,1
243,1.62,857.11,141.59,15.75,2152.88,60.46,12.11,47.71,3.24,-50.32,2.33,158.54,1
244,1.54,2443.85,143.28,16.33,339.67,52.68,54.79,26.22,3.26,-12.26,26.09,128.2,0
245,1.88,9714.29,142.71,15.63,2057.34,12.38,43.16,10.21,0.95,65.94,46.24,238.27,1
246,0.62,3434.59,130.54,16.56,510.35,28.0,10.33,15.1,1.08,-29.32,62.26,73.81,1
247,1.26,6476.07,137.72,16.72,105.05,0.05,16.18,15.17,4.12,68.58,24.14,224.4,0
249,0.63,1101.66,135.66,17.73,936.39,23.66,19.88,44.94,2.29,-73.63,64.15,47.71,1
250,0.82,8232.07,145.74,16.5,334.94,32.86,5.0,34.4,3.19,-100.66,60.44,212.15,1
251,0.95,5342.89,143.09,16.4,2255.94,19.67,55.1,28.67,6.45,-26.46,58.7,71.6,1
253,0.07,9076.51,131.26,17.94,2295.33,8.23,64.31,1.18,3.21,-16.83,9.25,158.27,1
254,0.28,3896.94,137.23,15.19,2239.81,48.08,35.02,11.39,1.36,9.29,1.84,124.44,0
255,0.55,6594.63,130.85,16.82,504.82,13.2,60.51,41.46,0.26,106.7,2.82,48.53,1
256,0.31,7852.19,138.44,15.22,2084.08,6.91,29.2,19.02,6.05,51.77,24.1,146.6,1
257,0.02,1637.97,135.63,16.47,1505.28,13.09,19.75,42.94,7.52,10.39,0.9,26.39,0
258,0.02,9186.79,134.54,16.84,1895.82,63.08,0.65,41.33,0.95,-25.18,37.56,108.16,1
259,0.53,2325.33,138.68,16.23,1029.18,18.61,30.89,4.78,4.66,77.86,60.41,120.62,0
260,0.05,6831.74,145.85,17.83,2282.73,63.15,54.36,7.87,0.65,-83.06,12.67,204.63,1
261,0.06,425.95,131.47,17.08,1922.52,39.49,43.89,11.33,2.09,-66.14,21.38,185.25,1
262,0.13,805.61,137.47,18.74,514.68,31.52,46.07,36.94,3.25,-108.46,15.41,55.3,1
264,0.71,6066.11,142.57,18.18,1896.91,2.65,31.66,34.45,5.25,46.39,45.76,215.69,0
265,1.28,3780.48,134.96,17.43,702.62,60.19,55.42,40.97,7.04,72.81,9.84,64.81,1
266,0.08,807.48,137.44,17.32,2348.78,30.73,25.87,35.27,5.1,-113.6,59.56,197.82,0
267,0.83,3430.7,137.6,18.71,2378.8,35.53,19.3,4.36,4.42,56.62,63.87,130.79,1
269,0.83,6141.23,140.53,15.34,1705.47,3.99,26.81,15.28,0.23,23.0,64.71,173.46,0
271,1.24,1558.65,145.84,16.06,66.27,46.77,34.85,29.7,1.91,113.15,47.97,177.07,0
272,0.36,1684.66,142.09,15.73,240.26,15.46,38.32,1.07,4.34,-29.74,15.74,205.71,1
273,0.29,8763.21,139.11,16.79,212.73,15.76,20.96,10.23,1.25,42.55,12.39,186.49,0
275,1.05,204.83,137.87,15.46,2419.14,10.64,32.78,24.16,1.73,12.5,35.98,58.4,1
276,1.86,5869.96,143.5,17.48,48.75,18.26,38.35,41.62,3.64,65.6,7.92,151.75,1
277,1.26,2418.07,139.18,17.0,952.66,27.22,49.23,34.96,2.5,-46.06,54.32,138.6,0
279,0.9,9342.77,131.67,15.09,28.39,6.56,49.19,11.1,6.98,10.34,36.47,126.8,1
281,0.99,3992.21,137.34,16.71,9.49,4.29,7.34,26.4,0.31,110.66,36.89,223.72,1
282,1.52,5824.75,130.6,17.94,2129.79,61.09,25.23,17.19,7.96,-84.13,7.5,139.55,0
283,1.5,1105.71,134.16,17.72,822.1,32.72,59.57,39.16,0.97,-55.98,20.44,61.55,1
285,1.64,4569.43,138.05,18.87,617.78,4.33,20.1,31.27,7.64,-117.42,15.27,0.6,0
286,1.2,1892.51,137.28,15.56,196.3,7.4,64.61,25.79,6.03,-3.84,60.37,208.36,1
287,0.53,1389.96,131.67,15.16,816.41,54.67,37.3,13.05,4.25,-37.76,10.59,50.99,1
288,0.66,2822.89,137.1,17.65,501.53,5.12,5.17,8.7,7.34,14.59,36.01,234.03,1
289,1.64,7675.79,135.68,18.41,1620.03,23.5,50.46,34.33,0.39,-35.13,53.37,108.08,1
291,1.45,867.83,134.48,17.44,389.34,42.67,23.35,8.38,6.75,-42.06,25.21,77.75,0
293,1.35,1916.49,138.64,18.39,2380.47,57.05,42.04,16.65,1.14,-62.58,12.47,247.24,1
295,0.31,9417.18,138.3,15.73,2040.23,62.6,11.41,18.34,5.53,90.68,20.22,68.98,1
296,0.77,7036.72,130.48,16.73,437.99,56.22,39.6,10.16,7.55,79.81,61.63,16.28,0
297,0.2,3599.02,132.19,15.61,939.04,17.57,56.09,31.17,7.86,-4.61,30.68,102.67,0
298,1.53,8314.36,133.91,16.96,1876.16,29.94,50.01,19.71,2.51,99.6,23.86,34.83,1
299,0.61,6440.95,144.76,15.28,1859.01,18.8,53.04,29.34,7.68,-62.08,15.51,78.87,0
300,0.47,9450.39,144.64,17.04,1924.47,22.56,21.44,47.43,6.9,-53.35,53.76,133.06,0
301,1.71,2845.12,131.29,17.05,487.32,39.44,13.61,34.68,6.22,-105.69,19.74,108.5,1
302,0.25,7322.73,131.87,15.07,931.41,53.51,57.81,40.72,4.19,-57.4,27.56,137.59,0
305,0.68,4129.58,139.04,18.57,1512.41,2.76,13.5,10.01,7.42,45.07,55.5,221.29,1
307,1.08,6125.99,143.46,15.32,1122.62,47.11,31.33,26.88,2.98,117.95,21.53,18.77,0
308,0.37,1227.05,134.42,15.48,23.66,36.33,12.41,29.03,4.39,-14.44,0.48,230.53,1
309,0.85,6854.0,142.37,16.48,1602.5,9.31,9.98,8.85,0.12,-11.82,1.41,16.04,1
310,0.85,528.79,136.61,15.13,1514.39,31.27,22.51,33.54,4.46,-37.22,37.37,2.42,0
312,1.46,4395.86,135.86,16.73,2029.9,20.18,45.29,8.55,2.77,-49.0,53.18,206.01,1
313,0.96,8236.8,133.15,16.77,1304.76,53.69,23.75,35.15,6.77,60.03,15.09,101.32,1
314,0.31,8262.11,138.49,15.9,413.26,18.12,19.97,32.47,7.74,-58.39,52.21,229.9,0
315,0.27,5781.68,137.13,16.72,2280.65,36.03,3.64,31.73,2.39,9.08,14.53,244.62,1
316,0.79,3990.78,142.52,17.97,2304.54,59.63,9.23,29.52,1.1,37.89,38.67,46.2,1
318,1.57,856.44,139.93,16.25,2335.78,41.21,36.0,26.18,3.28,32.74,42.14,166.45,1
319,0.26,8062.93,143.2,18.54,1868.74,51.64,25.0,7.22,7.74,-3.98,19.76,133.25,1
320,1.57,3359.31,138.72,15.47,884.71,0.89,9.47,29.34,6.53,-99.24,13.7,144.55,0
323,0.46,2625.92,144.76,15.9,1668.99,17.82,2.88,2.62,3.83,-65.04,0.54,68.28,1
324,0.94,5673.75,141.68,18.96,161.19,20.92,55.41,6.34,6.72,-123.64,18.37,198.09,1
