index,q/qm,ploss,fre,vpa,papower,ch,ce,rppower,ss,label
53,27.6,-5705.04,141.46,131611.76,52416.1,1.7,3.97,37517.16,96.13,1
55,43.45,7362.46,145.69,379356.06,6902.33,5.3,-100.37,39877.89,2.41,1
58,92.11,-7995.15,143.95,210594.08,6273.55,6.68,107.05,26502.73,4.12,1
59,94.46,-4005.57,138.96,21505.09,34651.22,2.46,22.4,61292.94,32.79,0
60,188.64,-8651.36,142.48,289356.21,49409.83,0.72,108.68,15317.07,32.48,1
62,62.67,8819.36,134.46,230105.75,19434.04,1.97,-28.31,51164.1,91.38,1
63,1.68,-6771.85,134.92,360345.43,42331.58,4.54,68.82,42621.61,208.3,1
65,101.58,-8182.03,137.0,29889.36,56217.06,7.44,-69.98,29809.85,247.58,1
66,181.34,4604.42,134.17,252986.41,60893.67,4.78,72.51,58236.13,113.43,0
67,137.5,-1382.97,137.13,175692.09,57123.06,1.11,10.99,29277.0,70.04,1
68,34.12,9194.25,144.41,233764.61,9979.33,7.12,47.55,6543.03,170.17,1
69,157.98,7941.44,132.02,33296.78,61187.54,0.68,-67.1,39616.66,96.19,1
72,191.41,-8879.13,145.81,207346.71,52684.42,7.89,104.95,778.66,53.3,0
73,198.87,5747.85,137.77,216438.41,9413.51,6.81,-58.22,53716.48,156.61,0
74,77.04,-682.4,144.6,159584.01,58474.31,3.1,28.14,33845.12,71.83,0
75,48.89,3436.6,130.43,98093.33,20671.5,0.36,-87.26,56668.94,217.17,1
76,15.14,-8793.31,141.48,248265.67,6469.16,7.77,-80.35,46445.18,15.16,0
77,31.15,5442.13,131.76,318753.99,9899.98,4.26,-90.05,2258.64,204.66,0
78,179.62,1819.68,144.77,113984.38,32916.02,3.77,-2.19,64773.8,81.43,1
79,39.97,1202.34,139.69,182091.1,52713.9,5.8,5.89,4922.19,83.13,0
80,179.85,3798.4,140.99,102079.62,29071.79,3.56,33.62,62610.37,206.98,0
81,140.78,-6847.55,145.19,111809.57,13687.65,4.85,-77.98,35632.72,145.99,1
82,77.67,-7673.31,143.77,182924.12,42057.39,7.66,15.32,30821.25,14.75,0
83,43.5,-2652.64,135.8,126145.14,43165.97,0.02,59.16,5547.94,106.62,0
85,106.89,6467.81,140.26,61519.96,58128.37,6.03,-92.78,56943.17,156.06,0
86,121.91,-7598.13,135.48,133439.55,25389.37,0.24,-57.35,20371.01,17.65,0
87,72.68,-7714.57,130.48,225343.12,45966.22,7.86,37.0,31954.95,193.28,1
88,188.36,-705.3,141.04,368495.23,32662.47,1.57,-85.83,5305.99,162.07,1
90,189.64,-2479.73,131.38,86645.75,57223.2,7.39,-18.47,31783.52,185.52,1
91,103.64,2430.89,136.67,47261.46,57074.38,5.41,-115.38,22169.27,54.87,0
92,197.82,-8004.52,133.48,223021.5,23560.53,5.01,7.54,59490.23,92.87,1
93,113.18,-2519.38,130.67,23870.0,13022.25,5.15,-83.61,48333.62,163.61,0
94,146.74,-4965.84,130.07,173168.92,59408.43,5.98,110.4,36565.69,173.56,1
95,154.09,-6543.98,136.18,206845.52,56539.9,2.67,-7.2,19301.4,23.62,1
96,105.63,-3268.38,142.12,269066.23,62499.04,0.06,-18.89,52953.24,162.16,0
97,99.25,3694.48,137.52,248204.78,22956.3,2.2,-14.52,62779.01,181.81,1
98,117.81,-9218.96,141.04,61438.35,37251.48,5.38,101.18,26215.36,83.69,1
99,115.32,8896.97,140.21,117371.69,14912.07,3.91,-100.54,36580.35,22.65,0
100,62.44,2046.12,144.98,291049.26,2574.64,7.54,112.38,1508.77,74.49,1
101,97.92,-1529.1,138.05,138759.09,26562.19,2.31,-14.43,26408.93,85.78,0
102,147.85,-8122.94,141.6,267826.94,1053.68,0.06,-110.28,26600.72,136.63,0
103,55.58,-706.11,132.34,96317.66,6420.45,4.92,58.69,10416.43,89.57,0
104,136.0,-542.26,143.58,39201.64,11434.58,6.51,-109.85,37883.79,129.35,0
105,111.92,-5645.43,132.81,142725.99,9144.84,6.65,19.79,750.45,70.88,0
106,173.64,1205.14,134.54,90681.54,5445.78,2.59,-75.25,46750.72,66.0,1
107,102.06,-2356.76,143.84,225841.32,42476.65,1.34,8.9,46781.57,81.02,0
108,141.57,1739.91,132.05,349245.76,41842.65,2.3,70.52,53498.59,121.86,0
109,187.39,6190.04,145.57,225365.62,22698.8,7.65,-95.52,48799.97,172.54,1
110,45.11,3898.58,134.0,249889.02,40496.01,6.52,-18.6,34103.46,73.9,1
111,197.93,8983.64,135.42,130481.24,25037.58,0.84,11.95,32431.5,248.97,1
112,120.05,6630.25,145.49,97447.15,40012.41,0.23,-63.08,11075.49,43.3,1
113,185.26,9422.15,139.76,265340.05,32911.73,0.01,68.86,45711.64,13.92,0
114,9.17,3523.83,136.72,25159.66,5142.77,2.61,-88.42,43183.48,154.3,0
115,47.09,-2483.57,138.74,26841.39,27169.6,7.74,-91.21,14184.81,186.58,1
116,87.62,5604.82,130.62,215984.37,17301.39,7.4,25.45,53637.82,32.86,1
117,139.57,-7138.81,134.02,274695.5,32946.83,7.63,93.67,50043.37,160.44,0
118,5.39,-1524.08,142.59,112873.09,63299.33,7.06,-28.12,1967.88,234.2,1
119,183.58,4851.73,138.88,204176.53,47227.41,7.7,-64.6,21049.2,105.92,0
120,10.62,4597.76,145.25,17427.95,48831.98,3.36,-29.75,37456.25,76.58,0
121,43.09,4474.74,142.99,140610.27,27668.4,5.39,122.1,1011.35,236.09,0
122,64.5,5758.46,144.0,6919.6,59691.84,4.17,-9.86,32415.33,203.68,0
123,37.45,-3812.37,134.09,128181.19,45179.04,5.68,-7.28,109.46,160.18,1
124,93.74,5115.15,139.26,96448.49,42406.23,2.17,-79.28,19294.23,27.48,1
125,89.38,6484.85,140.15,294506.62,19235.51,7.2,-124.59,14791.6,21.45,0
126,93.87,-2493.81,141.23,352189.18,48544.72,2.14,-104.15,1757.9,18.43,1
127,87.78,-5630.93,137.85,329435.53,30010.99,5.65,-63.54,64428.38,31.43,1
128,123.35,-8855.12,130.26,54897.56,28635.01,3.75,6.14,46510.58,230.77,1
129,191.19,2229.34,137.95,47322.4,38272.79,4.94,-115.62,7846.72,128.23,1
133,104.95,-4469.36,139.7,215344.89,61541.21,4.76,-79.69,58031.46,243.72,0
134,148.53,-3753.81,141.34,258591.84,37625.65,0.65,124.01,35034.34,180.33,0
135,48.55,-4667.29,137.81,156623.6,38818.89,1.91,-22.56,45234.28,151.99,1
136,99.29,1420.4,144.6,398314.04,56395.84,7.76,-41.2,43953.19,118.43,1
137,80.32,-2110.39,140.67,92476.79,45043.51,4.61,-12.36,33616.35,238.65,1
138,187.52,-7015.52,143.06,4379.48,11636.15,0.62,6.13,43146.23,213.56,0
139,98.96,1148.63,142.7,252738.69,16315.99,4.99,-89.98,15404.98,89.04,0
140,93.47,6340.78,131.24,270447.65,33382.11,7.89,-111.82,33307.71,127.84,1
141,63.37,-9421.05,135.49,313749.69,26010.87,2.82,-70.42,57699.67,74.89,1
142,29.69,-4540.63,139.75,342040.04,23396.34,3.98,-57.32,49160.36,164.75,0
143,96.77,-180.34,133.07,59906.63,62849.16,4.44,6.92,16908.37,12.07,1
144,51.8,339.69,131.15,117372.07,49997.3,5.82,58.14,33583.63,116.2,0
145,132.28,3471.78,131.5,52199.88,23707.31,1.16,-60.92,63465.96,3.52,0
146,53.5,-3730.06,139.07,298967.39,5184.02,6.86,-20.05,43143.09,131.86,1
147,68.92,-4847.17,138.09,304412.73,43122.5,2.52,-42.38,15134.3,224.63,0
148,83.24,-2786.91,138.75,283137.91,24910.82,7.05,28.41,8718.52,128.68,1
149,155.62,3844.27,131.86,218569.75,56314.22,3.22,21.02,36285.73,97.38,1
150,191.66,-1693.8,135.28,4160.03,9478.48,5.88,-113.52,37649.09,140.6,0
151,63.48,7862.99,130.62,359780.48,932.23,3.81,26.12,23178.63,127.73,0
152,113.83,-3465.41,133.56,178894.42,59973.66,7.31,61.08,7981.33,31.67,0
153,150.56,-1944.09,132.18,349733.47,54842.44,7.37,-5.25,31775.27,116.75,1
154,148.27,5105.03,134.65,239272.47,29548.02,3.0,-124.8,22252.35,144.39,1
156,144.05,-6187.64,138.69,117941.99,30209.5,5.36,56.73,16311.14,14.48,1
157,131.62,7873.6,141.6,127385.49,17318.81,6.48,-80.47,47635.71,186.51,0
159,44.51,-5803.44,145.5,41772.18,9544.2,4.32,-79.37,869.62,203.87,0
160,74.41,8109.25,136.31,78551.59,54351.23,0.15,-114.0,59253.69,192.23,0
161,34.17,-4411.0,142.26,258811.05,52773.1,5.17,-119.08,27976.23,163.42,1
162,86.63,1138.73,138.73,79572.33,8747.98,3.79,-115.1,22240.9,132.01,1
163,52.2,3303.57,140.64,122174.24,47257.98,1.67,65.42,42530.22,230.85,1
164,157.49,766.53,136.8,320044.33,52686.41,1.84,-119.15,59911.83,208.13,0
165,116.33,-7731.26,141.76,101703.15,38337.44,1.91,-18.2,1307.81,12.41,0
166,149.29,6184.88,144.63,106802.63,28847.48,1.25,-82.52,25382.19,226.9,0
167,85.46,3498.77,136.82,130061.37,9574.36,1.6,21.18,10033.13,35.81,0
169,26.31,-9518.03,142.57,256410.34,62262.38,1.42,28.58,14015.77,138.9,1
170,51.22,8224.35,145.66,271768.96,3941.68,1.94,54.95,60382.57,196.3,1
171,88.15,-4188.99,145.58,302353.75,37562.2,5.11,-51.1,17828.0,37.84,0
172,49.1,-2632.67,139.97,193582.24,8018.79,7.6,72.31,2586.55,134.95,0
173,133.69,-4342.53,137.46,54487.35,60380.33,7.37,106.42,35029.56,184.98,0
174,146.85,-1392.61,140.56,273560.11,39565.32,4.62,1.23,52274.86,204.78,1
176,130.16,-1102.39,135.97,77980.96,44775.32,2.4,-125.63,18938.02,97.48,1
177,15.41,3619.19,143.24,195219.98,15414.87,7.56,96.07,26186.76,60.77,0
178,191.34,2966.29,136.17,187594.75,49507.55,0.78,81.84,19310.3,13.61,0
179,191.28,5749.1,144.95,318325.37,39889.97,3.14,37.34,54621.19,99.05,0
180,169.29,-9659.93,135.68,146026.24,64470.6,2.76,65.3,2383.48,134.6,1
181,30.56,7222.23,141.97,375151.97,47220.7,6.45,-24.45,22837.87,35.67,1
183,135.51,-2905.14,136.15,259143.63,19440.88,2.04,-123.26,26551.64,21.35,1
184,108.4,-7283.07,139.2,361033.43,60022.95,3.04,13.58,35797.17,29.78,1
185,152.22,-3065.79,138.2,374434.29,35360.67,0.71,125.74,29456.89,98.71,0
186,3.93,-7760.46,142.97,1089.71,28386.29,2.94,26.03,34119.89,83.21,0
187,101.18,4423.99,144.61,234865.06,58790.41,1.46,38.79,54900.85,149.9,0
188,176.73,-230.49,130.43,82916.56,45824.93,2.87,61.05,15733.88,149.43,0
189,123.31,-4979.76,142.59,349631.83,18423.28,4.86,103.33,16508.1,244.86,1
193,63.23,-4823.78,137.04,39298.19,40752.93,1.47,-14.88,27748.33,203.08,1
194,77.55,416.49,131.32,102211.35,5960.54,1.73,59.18,24893.82,37.97,0
195,143.36,7314.04,143.27,34310.89,19615.71,0.63,-38.38,11330.26,21.02,1
196,171.47,-2324.65,132.11,366997.3,53853.81,5.71,-54.29,19049.11,86.71,1
197,184.22,-9799.79,136.33,226935.73,50717.24,5.13,30.34,9388.03,42.34,1
198,141.35,4255.71,136.38,12943.68,49992.09,6.52,61.82,5689.76,78.75,1
199,47.91,5820.49,130.41,82402.61,27461.63,0.28,-32.29,5402.73,249.68,0
200,18.39,-7151.53,144.69,60231.78,50277.13,5.61,-29.61,6377.18,48.18,0
204,64.42,-6362.2,132.49,383172.22,9755.04,6.67,-99.51,57117.98,53.34,1
205,162.19,4268.59,142.9,360087.11,20371.69,7.15,-67.87,53255.21,63.58,0
206,51.45,-4288.54,135.81,392949.78,58071.03,2.08,123.7,4825.81,185.19,0
208,81.8,1771.89,141.26,260896.86,44273.3,3.76,-89.97,13753.17,117.28,1
209,142.42,9205.83,136.37,22107.71,50592.43,6.67,-98.22,32093.03,46.22,0
210,179.58,9747.23,135.01,232990.34,12292.41,3.24,-96.87,28255.74,129.6,0
211,118.45,7444.03,135.23,219691.92,233.36,0.65,32.2,30976.04,236.03,0
212,29.0,-9980.45,139.57,53550.5,38548.23,5.42,-82.61,8442.78,232.34,0
213,80.17,-1599.69,133.6,399438.0,19897.63,7.25,99.47,49722.89,87.43,1
214,135.93,4887.56,144.08,282712.87,58399.31,0.53,-107.64,35894.0,0.07,0
215,193.59,-6453.78,136.77,221860.42,58302.38,6.01,-63.54,61443.72,92.69,1
216,130.2,5553.27,138.22,134007.91,39967.42,0.18,-118.15,58446.66,197.99,0
217,33.79,9080.57,130.89,290131.74,48598.78,0.74,116.23,14564.64,224.48,0
218,14.34,9203.79,141.96,72149.25,13135.27,4.54,11.05,5220.53,63.88,0
219,39.85,-2578.53,141.65,332855.89,32103.54,1.99,-94.45,57164.02,3.07,1
220,13.98,-335.99,144.38,381100.91,55732.11,0.63,99.22,60527.97,36.66,0
221,185.65,-2987.8,143.32,111356.19,45484.46,7.87,-90.39,7192.69,240.08,0
222,138.63,-5063.45,136.49,209296.26,33374.13,3.84,36.97,56014.28,124.05,1
223,193.16,-8113.69,136.98,278966.14,5342.7,4.65,-97.48,53091.36,63.5,1
225,52.62,-865.79,137.29,91755.35,38303.94,1.4,-32.31,18940.01,8.24,0
226,87.57,254.16,131.85,237127.33,58744.64,7.32,8.6,10325.46,27.8,0
227,145.13,5023.52,135.89,142285.67,60991.4,4.83,-77.9,50351.5,71.39,0
229,108.22,-8601.58,132.51,347037.18,59214.82,2.15,71.56,27638.36,198.41,0
230,153.28,4288.67,135.75,296989.12,51440.63,1.28,-125.14,25588.1,83.75,1
231,33.65,-8977.27,137.34,143581.02,24589.45,2.49,-15.59,63327.44,117.33,1
232,21.4,9373.42,145.23,124512.44,18591.18,7.11,-49.2,28573.55,166.91,0
233,47.58,701.42,134.04,198503.29,17358.49,2.35,44.82,10722.2,230.14,0
234,86.07,-6815.32,136.83,261268.35,46576.04,5.01,-83.04,27035.23,94.75,1
235,189.82,991.16,136.39,240058.32,56790.92,6.08,61.07,62651.74,245.4,1
236,38.94,7597.85,142.09,347102.69,19996.39,2.68,-26.21,33809.38,170.75,1
237,63.16,-2071.9,134.09,131250.25,17576.41,2.61,-38.09,15278.07,20.02,0
238,89.41,-787.62,134.21,291790.15,53823.96,5.58,65.29,6155.38,137.48,1
239,98.89,9349.57,131.13,320721.94,32861.14,6.96,79.05,17446.96,200.43,0
240,163.97,-770.97,139.99,134159.34,7201.59,0.98,22.73,40915.79,241.85,0
242,18.11,-1444.56,130.55,275799.63,30794.37,1.4,50.8,45411.26,158.8,0
243,33.74,8261.67,132.29,135195.22,393.68,4.71,-32.29,28097.86,164.48,0
244,59.42,2483.02,142.86,170634.12,41603.88,7.25,83.36,48555.28,66.54,1
245,175.26,5473.61,143.49,292246.36,6507.26,5.07,20.11,35546.46,176.64,1
247,7.03,-1058.41,135.1,366059.73,22049.64,5.61,-54.34,10619.3,148.98,0
249,22.83,-502.27,131.74,26773.45,44534.91,6.8,-43.4,26589.56,122.63,0
252,35.27,-7880.87,130.11,190432.9,56774.79,3.06,-55.62,24311.94,220.08,0
253,50.17,-7928.77,138.39,190362.99,26523.53,3.4,-36.99,46501.23,34.98,0
254,118.81,-6118.5,140.97,341393.9,5140.71,7.08,-41.94,44092.39,249.52,0
255,72.42,9211.99,141.13,380284.68,57366.91,2.71,41.8,64816.89,174.12,0
256,126.19,9394.68,131.42,121540.78,15639.14,5.17,-107.44,1302.92,59.96,1
257,71.0,-8962.45,141.48,149039.0,48574.88,5.49,114.86,14499.94,14.98,0
258,117.5,2252.29,142.77,235627.69,59751.11,1.9,116.82,43503.48,136.39,0
259,96.36,9350.28,143.44,110107.32,59340.34,7.54,-79.61,3110.93,160.16,0
260,136.46,-885.92,133.12,61471.67,30278.91,4.98,-91.25,4281.79,248.87,0
261,150.49,-9828.82,136.46,229548.06,59852.03,4.11,-101.17,59267.72,116.63,0
262,49.52,3637.67,145.87,41775.54,20078.58,5.71,-83.81,12514.99,59.08,0
263,142.13,53.82,139.61,5161.17,29318.82,4.57,-44.39,21635.36,211.66,1
264,73.27,6086.93,130.15,58957.82,64654.7,0.21,-107.65,24733.26,144.26,1
266,155.68,-5571.96,131.63,201378.99,58267.0,6.56,87.13,39010.6,109.94,0
267,150.06,1610.21,134.33,175083.67,39821.5,0.31,126.51,46306.67,75.66,1
268,117.34,-6488.07,137.4,80631.08,35557.35,4.48,-96.94,18263.84,251.07,0
269,111.11,-5106.61,132.25,25072.88,39802.41,6.7,-58.03,32191.37,243.3,1
270,184.05,-5937.27,135.37,252468.32,21774.73,0.35,-80.94,30935.76,117.1,1
271,1.42,2757.49,145.68,368407.32,55807.11,3.82,12.5,25417.72,194.76,1
272,167.46,-9127.57,135.26,219802.9,197.05,2.27,-24.05,58144.21,245.09,0
273,15.88,-7752.04,136.64,223335.76,64009.37,2.28,-38.88,46604.86,238.97,1
274,125.71,6396.96,142.39,28565.48,53870.93,7.08,-13.12,21576.01,49.92,0
276,58.2,-678.77,142.51,216576.5,55285.0,5.04,53.34,53844.29,132.74,1
277,96.52,9835.65,137.67,341115.76,1154.26,3.5,42.03,53071.46,119.47,0
278,112.19,9454.44,144.96,304738.7,52212.08,1.31,0.02,32198.07,217.55,0
279,162.01,-2669.47,134.86,342489.3,11367.15,7.41,-49.69,50698.6,165.64,0
280,98.78,1875.88,141.36,193119.66,5731.69,3.94,11.74,60489.48,147.18,1
281,15.52,-3876.2,132.16,33501.38,25503.83,7.69,-76.12,45766.63,163.76,0
282,152.72,-2496.48,138.74,82323.92,42192.68,6.34,-81.03,21556.29,230.63,0
284,41.01,3752.53,142.65,255602.38,42265.89,5.28,-85.62,44529.35,65.23,0
285,31.64,-1577.78,136.19,93188.18,19344.53,4.88,-52.28,28482.6,213.91,1
286,23.93,-6360.68,134.41,124595.75,51734.6,5.02,19.8,57736.31,143.36,1
287,41.55,1266.01,144.81,221840.4,54218.9,7.67,-34.02,54333.67,92.39,0
288,33.23,6331.83,144.02,236950.52,57850.97,5.91,42.26,61874.45,36.67,1
289,65.07,5036.74,137.49,253544.4,27637.66,2.47,-22.1,39206.89,76.01,1
292,93.28,1553.33,130.86,162251.34,45712.85,0.84,124.08,32382.34,132.91,0
293,100.69,2411.52,139.86,188740.42,64171.25,5.65,59.2,39438.92,59.75,0
294,35.94,6457.18,139.42,376002.16,21511.61,7.29,-8.01,33786.37,230.01,0
295,47.84,2483.07,142.64,217698.07,51202.75,3.28,62.74,46953.0,69.91,1
296,40.66,-4051.58,143.74,332392.36,8705.79,5.91,-34.31,43566.43,147.14,1
297,188.98,4976.7,142.66,119486.88,32454.51,6.56,5.66,40464.29,207.64,1
298,167.34,-8607.84,131.9,295132.02,26602.01,5.63,5.68,11761.48,125.36,1
299,36.79,-9134.24,130.37,306067.01,56249.71,3.13,-60.04,28975.24,4.52,0
300,52.45,-7410.34,137.27,54275.1,32328.46,5.03,-112.84,13163.53,198.76,1
301,152.07,-6463.77,130.48,219670.41,46627.46,7.44,89.17,48206.04,254.71,0
305,84.36,6001.0,135.59,121048.17,62228.66,0.84,104.19,60636.33,250.59,1
306,40.84,7358.56,143.0,28844.4,15902.96,2.04,5.2,57611.76,246.65,1
307,19.08,8552.5,140.03,312481.42,13473.86,5.13,71.51,29919.41,242.96,0
308,55.08,-2637.9,137.97,3301.44,6617.71,4.67,-21.73,24432.15,8.34,0
310,168.34,1755.0,137.45,380555.18,47540.53,2.45,-1.59,55547.36,124.97,0
311,115.43,-9627.39,143.58,190020.0,22234.4,6.32,-48.04,29138.78,120.8,1
312,91.67,1186.72,134.56,14339.94,31219.82,0.17,-46.7,56676.92,91.19,0
314,62.12,-4767.78,132.44,253976.78,42526.22,3.42,-114.1,37558.84,180.29,1
315,150.98,7915.99,142.68,368228.25,27793.87,0.24,-67.33,44611.45,200.06,0
316,102.79,5304.48,144.81,58818.49,63984.36,4.73,17.74,40653.24,4.07,1
317,29.88,2537.36,131.71,266854.5,23793.5,1.04,-9.84,20613.4,41.37,0
318,42.5,2527.28,137.4,241872.69,49070.3,5.03,92.62,16966.67,35.19,1
319,22.94,5618.5,140.19,226910.0,18405.75,6.81,-105.17,41212.41,148.54,1
320,81.57,-8393.64,136.71,165328.47,56996.52,5.83,-50.46,55295.87,235.28,1
323,64.96,-2148.44,130.08,25918.72,10886.19,3.82,55.19,6501.59,188.35,1
324,102.36,-9029.93,144.44,274000.77,2076.58,0.2,-49.95,28219.09,253.56,0
325,45.06,-4555.7,141.23,311742.66,13953.45,5.01,-3.07,23570.44,115.98,1
326,66.83,5459.33,143.67,66730.93,37338.94,5.28,-32.34,60342.5,144.82,0
327,157.0,-9199.52,131.62,220999.74,22836.43,7.02,-50.3,57032.89,73.54,1
328,135.74,9642.97,142.58,164355.74,59733.68,4.79,35.07,40099.37,195.44,0
329,109.6,-6581.68,130.94,209546.78,47430.26,5.74,-72.7,43380.01,204.57,0
330,47.97,-5430.91,144.88,124739.93,8679.63,5.14,-52.19,3867.27,84.66,1
331,52.96,-5605.51,134.98,128538.87,35936.18,5.54,-105.89,9425.7,189.69,0
332,156.82,-4857.97,144.02,338564.88,42608.12,5.32,-72.51,24326.69,64.35,1
333,194.78,-5330.7,131.22,140281.51,55615.15,3.76,-122.56,31464.25,18.06,0
334,82.59,-8795.02,138.8,79735.76,49085.94,2.27,31.19,46285.11,233.65,1
335,165.04,-3265.89,135.14,292516.84,30000.11,2.38,2.23,51325.9,181.09,1
336,113.3,-8893.18,144.72,226073.8,18398.55,7.69,126.52,25203.21,146.3,1
337,183.87,-1494.87,137.96,156345.56,36386.16,0.33,44.72,28677.3,205.28,1
338,61.83,-3905.52,132.1,308651.69,57489.63,5.71,6.93,62158.65,28.6,0
339,116.53,-6323.22,137.04,17422.84,49256.16,7.87,-32.08,17121.66,128.59,0
341,115.73,5569.11,142.45,394288.61,48248.34,3.39,-21.52,22701.2,68.39,1
342,77.96,-660.35,131.47,136343.37,46125.25,7.52,-82.26,61927.97,75.72,0
344,168.62,2737.94,131.53,179821.7,17204.08,6.54,-53.58,25555.51,222.31,1
345,129.77,6821.25,141.78,30304.26,30154.48,0.87,-102.94,17979.17,16.29,0
347,130.55,8728.61,135.99,194048.85,51101.07,6.47,50.45,43697.15,9.77,0
348,120.89,9527.59,133.47,332339.87,20785.62,4.24,-120.45,46447.48,95.67,0
349,15.26,1888.61,136.96,183116.39,35407.62,0.31,37.72,54943.87,48.54,0
351,162.29,-990.85,141.19,311541.2,59150.31,3.37,-56.32,27219.07,153.89,1
352,182.36,-3615.75,133.4,260351.88,12235.53,2.56,111.19,606.29,168.72,1
353,15.95,-1397.92,144.96,216976.92,44712.63,7.56,-48.04,46520.74,161.78,1
354,164.04,5133.36,137.34,276123.05,60024.44,0.72,19.39,27151.15,53.47,0
355,24.44,2969.68,141.59,337223.22,36146.77,1.92,49.17,22397.99,43.19,0
357,126.13,-9622.54,141.14,141619.56,44636.08,3.16,-46.1,27589.52,37.28,1
358,101.39,-2288.35,145.79,64147.94,54827.38,0.68,-97.95,24157.39,32.46,0
360,161.87,3633.69,138.79,114404.57,39911.03,5.48,13.53,37778.4,240.53,0
361,198.96,6403.61,131.83,74729.44,17247.11,6.52,26.11,53060.54,168.67,1
364,197.51,-4185.35,136.31,133354.34,32590.41,3.42,14.6,41731.08,253.36,0
365,60.03,-7790.59,133.4,76303.74,55538.5,2.76,-40.1,34695.0,175.04,1
366,199.79,7369.31,138.31,293637.29,58740.96,7.06,58.81,8531.1,132.64,0
367,168.05,-9307.06,130.93,102327.48,27226.26,4.96,-116.6,5470.46,175.79,1
368,111.77,-3861.76,142.92,145502.03,43081.16,3.97,55.43,5548.58,179.78,0
369,92.7,-4891.19,140.49,26584.25,41861.2,7.88,100.43,30030.62,110.6,0
370,53.73,-7757.92,134.62,82797.03,60106.73,0.31,-102.13,34416.68,20.37,1
371,36.6,-4897.62,130.37,107410.35,46616.67,3.69,-46.73,38556.44,121.27,0
372,189.36,-4292.52,140.82,162410.61,47810.45,0.19,-7.51,8449.74,241.42,0
375,114.02,-2898.32,130.32,261239.44,7620.61,2.88,91.35,33710.77,54.45,1
